APELLIDO;NOMBRE;CLUB;POSICION;VALOR
Sigali;Leonardo;Godoy Cruz;DEF;4600000
Sills;Juan;Vélez;DEF;2000000
Silva;Agustín;Estudiantes;ARQ;1000000
Silva;Hugo;Racing;DEF;400000
Silva;Jonathan;Estudiantes;DEF;500000
Silva;Santiago;Boca;DEL;11000000
Somoza;Leandro;Boca;VOL;4400000
Soria;Pablo;Estudiantes;VOL;400000
Sosa;Diego;San Martín SJ;DEF;1300000
Sosa;Franco;Boca;DEF;4000000
Sosa;Sebastián;Vélez;ARQ;3900000
Soto Torres;Matías;Unión;VOL;1200000
Soto;Carlos;All Boys;DEF;3000000
