Gil Romero;Gaston;Estudiantes;VOL;2600000;2;;;;;
Espinoza;Gonzalo;All Boys;VOL;2500000;2;;;;;
Pezzella;German;River;DEF;2500000;2;;;;;
Kranevitter;Claudio;River;VOL;2400000;2;;;;;
Magallan;Lisandro;Rosario Ctral.;DEF;2300000;2;;;;;
Silva;Jonathan;Estudiantes;DEF;2200000;2;;;;;
Campi;Gaston;Racing;DEF;1300000;2;;;;;
Acosta;Luciano;Boca;VOL;800000;2;;;;;
Abreu;Sebastian;Rosario Ctral.;DEL;6000000;1;;;;;
Boghossian;Joaquin;Quilmes;DEL;4900000;1;;;;;
Niell;Franco;Rosario Ctral.;DEL;4900000;1;;;;;
Borghello;Ivan;Gimnasia L.P.;DEL;4500000;1;;;;;
Sand;Jose;Tigre;DEL;4500000;1;;;;;
Tonso;Martin;Newell's;VOL;4500000;1;;;;;
Rasic;Federico;Gimnasia L.P.;DEL;4400000;1;;;;;
Rodales;Andres;Rafaela;DEF;4300000;1;;;;;
Ferreyra;Osmar;River;VOL;4200000;1;;;;;
Peratta;Sebastian;Quilmes;ARQ;4200000;1;;;;;
Sperduti;Mauricio;Arsenal;DEL;4200000;1;;;;;
Carrera;Sebastian;Belgrano;VOL;4100000;1;;;;;
Benitez;Leandro;Quilmes;VOL;4000000;1;;;;;
Cabrera;Nicolas;All Boys;VOL;4000000;1;;;;;
Casteglione;Carlos;All Boys;DEF;4000000;1;;;;;
Cerutti;Ezequiel;Olimpo;DEL;4000000;1;;;;;
Furios;Ivan;Olimpo;DEF;4000000;1;;;;;
Gonzalez;Federico;Rafaela;DEL;4000000;1;;;;;
Kannemann;Walter;San Lorenzo;DEF;4000000;1;;;;;
Leone;Ramiro;Tigre;VOL;4000000;1;;;;;
Maggiolo;Ezequiel;Belgrano;DEL;4000000;1;;;;;
Renteria;Wason;Racing;DEL;4000000;1;;;;;
Aveldano;Lucas;Belgrano;DEF;3900000;1;;;;;
Sabia;Juan;Velez;DEF;3900000;1;;;;;
Valdes;Carlos;San Lorenzo;DEF;3900000;1;;;;;
Champagne;Nereo;Olimpo;ARQ;3800000;1;;;;;
Fontanini;Fabricio;San Lorenzo;DEF;3800000;1;;;;;
Gonzalez;Mariano;Estudiantes;VOL;3800000;1;;;;;
Ibañez;Nelson;Racing;ARQ;3800000;1;;;;;
Menseguez;Juan C.;River;DEL;3800000;1;;;;;
Prosperi;Gonzalo;San Lorenzo;DEF;3800000;1;;;;;
Veron;Gonzalo;San Lorenzo;DEL;3800000;1;;;;;
Garcia;Ariel Matias;Gimnasia L.P.;VOL;3700000;1;;;;;
Melano;Lucas;Lanus;DEL;3700000;1;;;;;
Musto;Damian;Olimpo;VOL;3700000;1;;;;;
Orzan;Horacio;Newell's;VOL;3700000;1;;;;;
Riano;Claudio;Boca;DEL;3700000;1;;;;;
Sanchez;Nicolas;Godoy Cruz;DEF;3700000;1;;;;;
Villalva;Daniel;River;DEL;3700000;1;;;;;
Benitez;Nahuel;Olimpo;DEL;3600000;1;;;;;
Carranza;Jorge;Godoy Cruz;ARQ;3600000;1;;;;;
Grana;Hernan;Boca;DEF;3600000;1;;;;;
Aguirregaray;Matias;Estudiantes;DEF;3500000;1;;;;;
Alcoba;Gerardo;Colon;DEF;3500000;1;;;;;
Boyero;Hernan;Argentinos;DEL;3500000;1;;;;;
Curuchet;Facundo;Colon;DEL;3500000;1;;;;;
Erramuspe;Rodrigo;Rafaela;DEF;3500000;1;;;;;
Insua;Emanuel;Boca;DEF;3500000;1;;;;;
